"Kod";"Nazwa";"ogółem";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70 i więcej";"70-74";"75-79";"80-84";"85 i więcej";"0-14";
0410000;"Powiat nakielski";86119;4174;4612;5203;4625;5057;6090;6340;7241;6396;5981;5253;5338;6013;5154;8642;4038;1743;1503;1358;13989;
0411000;"Powiat radziejowski";40025;1748;1851;2049;1801;2366;3070;2818;2939;2834;2814;2644;2763;2965;2482;4881;2038;1031;909;903;5648;
0412000;"Powiat rypiński";43390;2042;2273;2543;2252;2589;3239;3011;3225;3259;2887;2613;2801;3158;2659;4839;2053;1012;868;906;6858;
0413000;"Powiat sępoleński";40826;1908;2068;2608;2072;2541;2916;3122;3212;2970;2767;2308;2565;2922;2462;4385;1897;891;825;772;6584;
0414000;"Powiat świecki";98703;4847;5089;5865;4939;5648;6735;7140;8187;7681;6881;6081;6095;7094;6247;10174;4760;2141;1792;1481;15801;
0415000;"Powiat toruński";109565;5902;6215;7340;6457;6515;7413;8056;9440;9578;8378;6563;6272;6849;5802;8785;3991;1872;1510;1412;19457;
0416000;"Powiat tucholski";48322;2556;2567;2927;2830;2922;3235;3602;3795;3435;3109;2866;3084;3571;2927;4896;2198;980;914;804;8050;
0417000;"Powiat wąbrzeski";34040;1597;1732;1968;1605;2058;2504;2366;2677;2521;2431;2158;2167;2365;2119;3772;1632;774;671;695;5297;
0418000;"Powiat włocławski";85646;3618;4013;4634;4304;5247;6250;6048;6216;6421;6382;5842;5663;6206;5201;9601;4140;1972;1751;1738;12265;
0419000;"Powiat żniński";69886;3384;3538;3943;3499;4004;4737;4982;5616;5462;4900;4095;4363;4994;4711;7658;3667;1551;1296;1144;10865;
0461000;"Powiat m.Bydgoszcz";344091;15432;14879;16357;14075;14808;19311;25320;30061;27726;23794;19754;20140;25138;25787;51509;21652;11205;9354;9298;46668;
0462000;"Powiat m.Grudziądz";93564;4245;4405;5029;4495;4519;5249;6438;7637;7226;6165;5454;6123;7445;6903;12231;5137;2711;2289;2094;13679;
0463000;"Powiat m.Toruń";198613;9928;9216;9577;8993;8671;10510;15322;18544;16348;13800;10984;11385;14381;14353;26601;11813;5774;4605;4409;28721;
0464000;"Powiat m.Włocławek";108561;4334;4680;5129;5016;5274;6305;6908;8328;8751;8107;6764;6718;8540;8444;15263;7153;3294;2554;2262;14143;
0601000;"Powiat bialski";109958;5353;5645;6250;5820;7218;8412;7843;8156;7776;7551;6944;6857;7297;6082;12754;4654;2864;2601;2635;17248;
0602000;"Powiat biłgorajski";100333;4390;4605;5376;5227;5963;6950;7169;8164;7750;6879;5996;6490;6900;6136;12338;4804;2634;2502;2398;14371;
0603000;"Powiat chełmski";77502;3322;3781;4335;3885;4716;5697;5713;6215;5967;5401;4785;4863;5502;4671;8649;3391;1897;1574;1787;11438;
0604000;"Powiat hrubieszowski";62009;2219;2654;3094;2829;3673;4456;4082;4828;4506;4163;3860;4111;4697;4227;8610;3341;1930;1618;1721;7967;
0605000;"Powiat janowski";45142;1913;1997;2360;2341;2797;3439;2991;3278;3366;3217;2944;2988;2998;2659;5854;2181;1376;1205;1092;6270;
0606000;"Powiat krasnostawski";62552;2388;2633;2921;2846;3474;4272;4060;4781;4798;4240;3730;3842;4726;4542;9299;3414;2192;1752;1941;7942;
0607000;"Powiat kraśnicki";94531;3760;4074;4821;4625;5378;6457;6431;7481;7346;6477;5827;5928;6707;6363;12856;4733;2918;2622;2583;12655;
0608000;"Powiat lubartowski";87850;3943;4488;4962;4446;5038;6284;6294;7107;6794;6114;5356;5288;5793;5511;10432;4083;2450;1906;1993;13393;
0609000;"Powiat lubelski";156493;7916;8202;9628;8451;9375;10658;10911;12693;12622;11852;10019;9134;9676;8868;16488;6444;4036;2949;3059;25746;
0610000;"Powiat łęczyński";57218;3140;3173;3140;2858;3183;4123;4736;4982;4409;3531;3327;3900;4148;3423;5145;2176;1197;857;915;9453;
0611000;"Powiat łukowski";106213;5990;6025;6381;5856;6925;7751;7844;8133;7616;6902;6159;6154;6564;6010;11903;4610;2881;2163;2249;18396;
0612000;"Powiat opolski";58706;2592;2742;3173;2527;3352;4472;4135;4446;4499;4009;3521;3621;4117;3975;7525;2971;1782;1438;1334;8507;
0613000;"Powiat parczewski";34372;1591;1727;1787;1691;2022;2398;2421;2719;2436;2275;2110;2131;2474;2226;4364;1677;1009;829;849;5105;
0614000;"Powiat puławski";112384;4639;4923;5664;5883;6086;6835;7273;8189;8343;7868;7452;7055;7885;7688;16601;6428;4179;3276;2718;15226;
0615000;"Powiat radzyński";58298;2800;2995;3338;3106;3689;4303;4042;4462;4261;3848;3517;3759;3975;3517;6686;2591;1533;1323;1239;9133;
0616000;"Powiat rycki";55530;2766;2694;2900;2877;3231;3980;3932;4243;3919;3546;3284;3419;4037;3778;6924;2801;1569;1265;1289;8360;
