"Kod";"Nazwa";"ogółem";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70 i więcej";"70-74";"75-79";"80-84";"85 i więcej";"0-14";
1436000;"Powiat zwoleński";35875;1760;1854;1985;1792;2212;2754;2605;2767;2623;2359;2194;2223;2470;2163;4114;1564;935;788;827;5599;
1437000;"Powiat żuromiński";38202;1771;1909;2116;1944;2409;2954;2745;2660;2539;2646;2482;2591;2647;2160;4629;1795;990;922;922;5796;
1438000;"Powiat żyrardowski";75370;3878;3966;4409;3596;3821;4586;5028;6074;6371;5317;4526;4362;5243;5274;8919;3946;2023;1568;1382;12253;
1461000;"Powiat m.Ostrołęka";51656;2613;2613;2639;2791;2601;3021;3613;4377;3982;3193;3057;3285;4245;3976;5650;2545;1263;1001;841;7865;
1462000;"Powiat m.Płock";118268;5480;5721;5955;5311;5624;6563;7784;9711;9986;8557;7365;6946;8285;8920;16060;7498;3760;2696;2106;17156;
1463000;"Powiat m.Radom";209296;9597;9827;10761;9859;10492;12710;14527;17293;16830;14206;12139;12727;15731;15680;26917;10940;6125;4991;4861;30185;
1464000;"Powiat m.Siedlce";77813;4908;4489;4298;3804;3568;4544;5948;6882;6286;4972;3994;4180;5396;5570;8974;3962;2090;1541;1381;13695;
1465000;"Powiat m. st. Warszawa";1794166;105383;94335;91967;67244;61840;84998;144738;178765;166787;132314;91588;85663;111662;121469;255413;94579;54939;49100;56795;291685;
1601000;"Powiat brzeski";89282;3890;4171;4972;3957;4857;5826;6453;7490;6974;6275;5379;5672;6649;6031;10686;4712;2144;1995;1835;13033;
1602000;"Powiat głubczycki";45015;1674;1846;2206;2058;2411;2961;3248;3595;3201;3122;2924;3153;3603;3165;5848;2518;1233;1079;1018;5726;
1603000;"Powiat kędzierzyńsko-kozielski";93001;3697;3914;4268;3935;4592;5525;6950;7252;6941;6584;6796;6856;6879;5753;13059;4788;2975;3043;2253;11879;
1604000;"Powiat kluczborski";65026;2708;2735;2973;2852;3506;4363;4964;5361;5008;4587;4407;4634;4699;4114;8115;3218;1821;1640;1436;8416;
1605000;"Powiat krapkowicki";63196;2705;2781;2745;2619;3166;4022;4829;5001;5007;4570;4687;4754;4548;4019;7743;2615;1743;1960;1425;8231;
1606000;"Powiat namysłowski";42543;2095;1927;2304;1952;2313;2804;3159;3540;3409;2781;2533;2816;3190;2830;4890;2165;1006;899;820;6326;
1607000;"Powiat nyski";134864;5248;5537;6394;5939;7149;8725;9851;11028;10600;9502;8298;8992;10487;9839;17275;7600;3415;3224;3036;17179;
1608000;"Powiat oleski";63788;2817;2876;2884;2820;3307;4094;4916;4881;4730;4505;4526;4827;4615;4211;7779;2813;1729;1776;1461;8577;
1609000;"Powiat opolski";123532;5435;5491;5631;5508;5959;7313;9025;10121;9991;9391;9346;9451;8982;7611;14277;4890;3031;3437;2919;16557;
1610000;"Powiat prudnicki";54765;2384;2510;2666;2434;2857;3696;4194;4249;3999;3795;3552;3860;4018;3604;6947;2573;1456;1566;1352;7560;
1611000;"Powiat strzelecki";73923;3384;3475;3242;3083;3636;4680;5984;6095;5552;5233;5355;5626;5268;4320;8990;2951;2016;2272;1751;10101;
1661000;"Powiat m.Opole";127839;6586;5653;5800;4854;5065;5941;9303;11657;11050;9272;7602;7753;9367;9314;18622;7534;4212;3566;3310;18039;
1801000;"Powiat bieszczadzki";21489;891;981;1112;899;1247;1664;1599;1768;1723;1461;1376;1427;1717;1364;2260;969;487;439;365;2984;
1802000;"Powiat brzozowski";65373;3349;3350;3704;3494;4084;4872;4975;4885;4952;4521;4082;4037;4210;3545;7313;2741;1629;1480;1463;10403;
1803000;"Powiat dębicki";134991;6920;6972;7615;7004;7839;9800;10663;11204;10211;9081;8357;8651;8846;7456;14372;5413;3272;3048;2639;21507;
1804000;"Powiat jarosławski";119727;5584;5793;6381;6215;7234;8480;9156;9842;9155;8211;7401;7469;8085;7281;13440;5398;3066;2587;2389;17758;
1805000;"Powiat jasielski";112863;4864;5149;5807;5578;6637;8087;8346;8853;8653;8131;7445;7643;7750;6718;13202;4958;2988;2749;2507;15820;
1806000;"Powiat kolbuszowski";62039;2895;2842;3368;3216;4032;4853;4843;5034;4834;4562;4056;4061;3661;3146;6636;2418;1511;1377;1330;9105;
1807000;"Powiat krośnieński";111905;5460;5670;6376;6024;6854;7754;8116;8682;8473;7760;7121;7106;7354;6435;12720;4951;2739;2556;2474;17506;
1808000;"Powiat leżajski";68996;3221;3277;3694;3661;4308;5065;5159;5447;5303;4948;4362;4363;4477;4050;7661;3045;1657;1520;1439;10192;
1809000;"Powiat lubaczowski";54711;2322;2475;2872;2570;3255;4198;4051;4362;4113;3879;3480;3810;3741;3177;6406;2463;1399;1339;1205;7669;
1810000;"Powiat łańcucki";81226;4651;4419;4638;4172;4794;5713;6142;6669;6170;5559;4726;4913;4923;4431;9306;3439;2170;1847;1850;13708;
1811000;"Powiat mielecki";136441;6964;6866;7435;6937;7733;9650;10424;11372;10794;9148;8252;8451;8864;7941;15610;5948;3372;3154;3136;21265;
1812000;"Powiat niżański";66221;2894;2767;3397;3219;4031;5200;5301;5315;4837;4705;4453;4641;4636;3676;7149;2755;1469;1491;1434;9058;
1813000;"Powiat przemyski";73919;3429;3538;4152;3817;4917;5933;5627;5795;5471;5336;4814;4766;4764;3958;7602;2812;1720;1550;1520;11119;
1814000;"Powiat przeworski";77979;3836;3873;4348;3873;4793;5861;5947;6137;5855;5486;4726;4944;5106;4372;8822;3337;2030;1797;1658;12057;
1815000;"Powiat ropczycko-sędziszowski";74573;4329;4047;4325;4055;4557;5507;5831;5903;5858;5166;4656;4409;4319;3898;7713;2948;1765;1552;1448;12701;
1816000;"Powiat rzeszowski";170550;9499;9492;9961;9160;10034;12057;13269;14201;13263;12301;10921;10220;9876;8396;17900;6508;4130;3783;3479;28952;
1817000;"Powiat sanocki";93818;4051;4303;5068;4784;5270;6114;6815;7647;7413;6645;5707;6149;6803;6114;10935;4611;2339;2124;1861;13422;
1818000;"Powiat stalowowolski";105431;4435;4509;5139;4977;5714;6980;7543;8592;8651;7468;6402;6468;7698;7892;12963;5701;2723;2366;2173;14083;
1819000;"Powiat strzyżowski";61161;2997;2929;3212;3159;3766;4482;4576;4756;4773;4470;3908;4033;3841;3314;6945;2473;1652;1545;1275;9138;
1820000;"Powiat tarnobrzeski";52720;2295;2205;2690;2652;3171;3686;3852;4276;4099;4008;3429;3238;3700;3298;6121;2504;1330;1216;1071;7190;
1821000;"Powiat leski";26375;1158;1163;1342;1202;1543;1800;1869;2024;2135;1910;1742;1789;1854;1641;3203;1266;651;663;623;3663;
1861000;"Powiat m.Krosno";45944;1898;2080;2252;2136;2214;2417;3135;3866;3886;3201;2519;2865;3439;3580;6456;2734;1458;1246;1018;6230;
1862000;"Powiat m.Przemyśl";59779;2513;2559;2896;2631;2941;3387;4034;4857;4803;4157;3605;3963;4724;4479;8230;3266;2003;1560;1401;7968;
1863000;"Powiat m.Rzeszów";196638;11868;10544;9611;9554;9917;10948;18289;19338;15913;12420;9998;10565;12587;12448;22638;8853;5110;4335;4340;32023;
1864000;"Powiat m.Tarnobrzeg";46360;1780;1797;2196;2154;2272;2828;3045;3462;3637;3526;3157;3173;3426;3304;6603;2861;1619;1237;886;5773;
2001000;"Powiat augustowski";57651;2529;2567;3011;2806;3427;4181;4165;4386;4210;4081;3864;3974;4011;3284;7155;2660;1526;1517;1452;8107;
2002000;"Powiat białostocki";150845;7531;7621;8448;7187;8140;10179;11220;12609;11886;10724;9718;10039;10202;8549;16792;6214;3890;3318;3370;23600;
2003000;"Powiat bielski";53695;2333;2399;2625;2411;2827;3552;3740;3979;3536;3395;3452;3696;4051;3374;8325;2542;2096;1749;1938;7357;
2004000;"Powiat grajewski";46792;2100;2172;2489;2210;2985;3390;3363;3659;3521;3237;3094;3186;3384;2687;5315;2034;1220;1027;1034;6761;
2005000;"Powiat hajnowski";41991;1545;1688;1736;1777;1954;2559;2628;3040;2903;2596;2469;3098;3634;3109;7255;2347;1690;1481;1737;4969;
2006000;"Powiat kolneński";37887;1732;1767;2059;1804;2583;3227;2786;2750;2778;2577;2676;2580;2497;1864;4207;1447;1031;859;870;5558;
2007000;"Powiat łomżyński";50819;2422;2591;2846;2634;3369;4034;3712;3787;3664;3608;3449;3354;3200;2600;5549;1917;1273;1090;1269;7859;
2008000;"Powiat moniecki";40070;1631;1658;1961;1807;2481;3248;3054;3047;2806;2729;2686;2767;2728;2289;5178;1728;1137;1083;1230;5250;
2009000;"Powiat sejneński";19689;779;860;964;944;1260;1431;1286;1439;1417;1430;1275;1369;1413;1200;2622;920;568;568;566;2603;
2010000;"Powiat siemiatycki";43618;1630;1657;2016;1881;2742;3358;2876;3031;2920;2998;3061;3003;3334;2674;6437;2072;1552;1347;1466;5303;
2011000;"Powiat sokólski";65883;2587;2842;3220;2957;3831;4923;4482;4966;4749;4576;4544;4540;4773;4027;8866;3083;2064;1854;1865;8649;
2012000;"Powiat suwalski";35577;1809;1763;2039;1989;2409;2831;2632;2561;2324;2452;2325;2338;2286;1845;3974;1411;838;818;907;5611;
2013000;"Powiat wysokomazowiecki";56408;2776;2796;3053;2720;3527;4155;4012;4169;3905;3709;3494;3673;3935;3172;7312;2517;1693;1548;1554;8625;
2014000;"Powiat zambrowski";43191;2073;2096;2333;2077;2641;3016;3145;3486;3006;2922;2766;3037;3118;2420;5055;1792;1181;1109;973;6502;
2061000;"Powiat m.Białystok";296958;16707;14159;14606;13526;12918;17203;25165;26748;23716;20736;17778;17829;21212;18342;36313;13450;8750;7210;6903;45472;
2062000;"Powiat m.Łomża";62573;3081;2862;3138;3393;3162;3664;4698;5489;4782;4007;3740;4411;5071;4318;6757;2916;1533;1179;1129;9081;
2063000;"Powiat m.Suwałki";69639;3728;3342;3904;3596;3730;4990;5489;5881;5125;4553;4270;4833;5262;4099;6837;2926;1452;1262;1197;10974;
2201000;"Powiat bytowski";79114;4633;4510;4743;4177;4935;5889;6118;6221;5727;5257;4607;4974;5400;4624;7299;3412;1492;1281;1114;13886;
2202000;"Powiat chojnicki";97661;5768;5361;6216;5353;5873;6769;6998;7772;7225;6743;5727;5937;6334;5883;9702;4205;2062;1845;1590;17345;
2203000;"Powiat człuchowski";55835;2662;2826;3294;2913;3142;3815;4179;4505;4234;3652;3210;3687;4401;3666;5649;2661;1158;916;914;8782;
2204000;"Powiat gdański";120327;7569;7615;8192;6249;6367;7635;9599;11495;10872;9017;6736;6303;6907;6141;9630;4580;1969;1595;1486;23376;
2205000;"Powiat kartuski";141892;11442;9999;10419;8767;8825;10084;11253;11114;10574;9392;7946;7802;7579;6344;10352;4527;2145;2016;1664;31860;
2206000;"Powiat kościerski";72923;4536;4352;4857;4139;4517;5024;5545;5673;5279;4890;4273;4442;4616;3935;6845;3031;1445;1296;1073;13745;
2207000;"Powiat kwidzyński";82963;4133;4471;5168;4669;4923;5666;5948;7064;6840;5835;4820;4997;5657;5136;7636;3667;1548;1293;1128;13772;
2208000;"Powiat lęborski";66083;3433;3499;4008;3337;3859;4604;4979;5318;4920;4398;3934;3999;4731;4396;6668;3100;1384;1136;1048;10940;
2209000;"Powiat malborski";63204;2914;3068;3685;3104;3489;4177;4450;5325;4958;4270;3839;3975;4806;4294;6850;3012;1463;1219;1156;9667;
2210000;"Powiat nowodworski";35438;1523;1770;2049;1703;2152;2526;2622;2853;2757;2405;2124;2361;2672;2442;3479;1533;715;622;609;5342;
2211000;"Powiat pucki";87568;4994;5168;5731;4914;5164;5780;6627;7308;6854;6449;5303;5335;5511;4771;7659;3531;1712;1355;1061;15893;
2212000;"Powiat słupski";98832;4676;5241;6081;5266;5805;6580;7204;8421;7762;7044;5799;6153;7393;6323;9084;4291;1813;1511;1469;15998;
2213000;"Powiat starogardzki";128210;6971;7075;8221;6898;7593;8969;10199;10630;9359;8534;7658;7991;8471;7432;12209;5285;2707;2265;1952;22267;
2214000;"Powiat tczewski";115220;5877;6187;7196;6049;6440;7475;8762;9528;9040;8144;6952;6758;7819;7029;11964;5344;2593;2192;1835;19260;
2215000;"Powiat wejherowski";219457;14400;13964;14533;11959;12433;14623;16925;18974;17727;15221;12425;12515;13185;11795;18778;8724;4048;3357;2649;42897;
2216000;"Powiat sztumski";41104;1851;2211;2430;2191;2505;2908;3040;3383;3115;2797;2495;2648;3031;2645;3854;1799;690;704;661;6492;
2261000;"Powiat m.Gdańsk";470805;27749;23239;22971;18497;18899;26295;38770;43164;39828;33033;25700;24231;29812;32901;65716;27313;14092;12326;11985;73959;
2262000;"Powiat m.Gdynia";244969;11129;11206;11667;10330;10488;12950;17518;21322;20314;18009;13926;13671;16722;17926;37791;15399;8118;7037;7237;34002;
2263000;"Powiat m.Słupsk";89780;4018;3939;4217;3645;4081;5098;6091;7583;7101;6111;5144;5699;7020;7152;12881;5703;2678;2320;2180;12174;
2264000;"Powiat m.Sopot";35286;1242;1341;1299;1099;1179;1576;2577;3003;2796;2485;2024;2015;2635;2867;7148;2683;1477;1280;1708;3882;
2401000;"Powiat będziński";147259;5806;6691;7424;6193;6491;7545;9292;12385;13164;11086;8859;8814;11620;11499;20390;8776;4680;3781;3153;19921;
2402000;"Powiat bielski";166348;8987;9169;9605;8216;8594;10563;12259;13687;13564;11814;10222;10428;11086;10185;17969;7357;4308;3539;2765;27761;
2403000;"Powiat cieszyński";177536;8997;9630;9933;8563;9335;11098;12307;13998;14106;12426;11039;11327;12212;11894;20671;8586;5123;3896;3066;28560;
2404000;"Powiat częstochowski";134106;5693;6047;7017;6217;7256;8974;9176;10481;10747;10019;8770;8865;9930;8974;15940;6507;3606;2986;2841;18757;
2405000;"Powiat gliwicki";115416;5625;5973;6189;5088;5589;6880;8535;9793;9182;8186;7639;7984;8136;6984;13633;4900;3507;2939;2287;17787;
2406000;"Powiat kłobucki";84330;3712;3848;4412;3963;4725;5775;6041;6418;6434;6222;5698;5598;5932;5199;10353;4099;2504;1975;1775;11972;
2407000;"Powiat lubliniecki";76109;3815;3715;4051;3614;3892;4953;5852;6237;5885;5393;5150;5339;5238;4474;8501;3223;2123;1797;1358;11581;
2408000;"Powiat mikołowski";99202;5415;5662;5710;4695;4765;5801;7357;8771;8021;7040;6181;6181;6884;6052;10667;4036;2832;2140;1659;16787;
2409000;"Powiat myszkowski";70486;3049;3341;3506;3212;3395;4228;4771;5627;5692;5034;4419;4639;5455;5068;9050;3718;2090;1738;1504;9896;
2410000;"Powiat pszczyński";111814;6417;6693;6797;5553;6086;7323;8903;9471;8423;7363;7032;7906;7886;5880;10081;3956;2555;2092;1478;19907;
2411000;"Powiat raciborski";107410;4688;4759;4899;4766;5198;6548;8287;8912;8436;7575;7509;8303;7964;6703;12863;4446;2879;3250;2288;14346;
2412000;"Powiat rybnicki";78166;4195;4422;4509;3750;4019;4896;6153;6566;5919;5362;5007;5299;5520;4307;8242;2987;2165;1720;1370;13126;
2413000;"Powiat tarnogórski";140780;6464;6906;7206;6357;6604;7982;9940;11802;11443;10329;9152;9133;10089;9272;18101;6663;4640;3648;3150;20576;
2414000;"Powiat bieruńsko-lędziński";59823;3212;3448;3445;2839;2998;3791;4726;5080;4540;4052;3985;4194;4365;3310;5838;2234;1551;1174;879;10105;
2415000;"Powiat wodzisławski";156579;7668;7968;8551;7177;7903;9516;11744;12692;11798;10904;10261;10968;10660;9324;19445;7229;5177;4206;2833;24187;
2416000;"Powiat zawierciański";116672;4582;5131;5739;4978;5641;6893;7574;8955;9487;8501;7276;7586;9054;8897;16378;7231;3589;2995;2563;15452;
2417000;"Powiat żywiecki";152199;7537;7762;8451;7596;8740;10610;11347;11913;11431;10896;9818;9904;10116;8977;17101;6815;3929;3369;2988;23750;
2461000;"Powiat m.Bielsko-Biała";169756;8214;8413;8707;7259;7412;9089;11498;14429;14259;11580;9734;9758;12016;12756;24632;10251;5733;4573;4075;25334;
2462000;"Powiat m.Bytom";163255;6891;7211;7765;6780;7744;9871;12392;13343;12536;11455;10640;10749;12088;10600;23190;8347;5952;4778;4113;21867;
2463000;"Powiat m.Chorzów";106846;5006;5157;5589;4560;5244;6399;7763;8672;8436;8067;7118;6370;6911;6603;14951;5562;3912;3081;2396;15752;
2464000;"Powiat m.Częstochowa";217530;8486;9317;10080;9099;9645;11053;13841;17487;17505;15313;13025;14196;18076;18057;32350;13610;6931;6113;5696;27883;
2465000;"Powiat m.Dąbrowa Górnicza";118285;4718;5171;5886;4713;4725;5671;7840;10293;11195;8192;6510;7046;10143;10697;15485;7072;3378;2697;2338;15775;
2466000;"Powiat m.Gliwice";177049;8499;8568;8486;6960;8456;9443;11705;15709;14508;12105;10507;10713;13499;13174;24717;9636;5876;4888;4317;25553;
2467000;"Powiat m.Jastrzębie-Zdrój";88038;3836;4061;4641;4122;4680;5791;6191;6463;6208;7287;6208;5265;5194;5260;12831;6164;3248;2246;1173;12538;
2468000;"Powiat m.Jaworzno";90368;4005;4133;4438;3733;4131;5356;6831;7788;6946;6109;5857;6461;7350;5914;11316;4364;2654;2421;1877;12576;
2469000;"Powiat m.Katowice";290553;13212;12322;12428;10411;11830;16352;22066;25091;22180;19104;18054;19118;22456;20593;45336;16502;11614;9256;7964;37962;
2470000;"Powiat m.Mysłowice";74559;3823;3855;4003;3298;3272;4422;5831;6581;5764;4927;4537;5303;5816;4510;8617;3377;2251;1737;1252;11681;
2471000;"Powiat m.Piekary Śląskie";54702;2408;2636;2757;2224;2538;3206;4146;4557;4232;3616;3279;3646;4468;3811;7178;2587;1996;1541;1054;7801;
2472000;"Powiat m.Ruda Śląska";136423;6837;7046;7180;6030;6653;8368;10081;11255;10689;9159;8319;9184;10296;8885;16441;6317;4464;3382;2278;21063;
2473000;"Powiat m.Rybnik";137128;6810;7262;7431;6092;6586;8138;10143;11721;11166;9350;8195;9022;10048;8944;16220;6371;4205;3301;2343;21503;
2474000;"Powiat m.Siemianowice Śląskie";66270;3090;3131;3167;2662;2903;3652;4763;5637;5204;4537;4065;4283;5346;4676;9154;3615;2329;1920;1290;9388;
2475000;"Powiat m.Sosnowiec";197586;7613;8098;8734;7213;8107;9874;12789;16451;17402;13952;11320;12412;16453;17683;29485;13166;6513;5392;4414;24445;
2476000;"Powiat m.Świętochłowice";49108;2223;2315;2446;2185;2327;2858;3531;4001;3918;3310;3184;3072;3744;3515;6479;2428;1672;1273;1106;6984;
2477000;"Powiat m.Tychy";126871;6091;6423;6595;5268;5110;6672;9166;11866;11587;8155;6231;7292;10833;10414;15168;6625;3402;2774;2367;19109;
2478000;"Powiat m.Zabrze";170924;7489;7311;8087;6958;8030;9992;13191;13860;12605;11935;11551;12113;13407;10541;23854;7762;5661;5208;5223;22887;
2479000;"Powiat m.Żory";62844;3147;3526;3714;2945;2994;3416;4398;5831;6116;4599;2938;3098;4618;5112;6392;3437;1481;886;588;10387;
2601000;"Powiat buski";71125;2792;3116;3566;3418;3812;4569;4666;5588;5373;5242;4406;4406;5265;4779;10127;3918;2187;1884;2138;9474;
2602000;"Powiat jędrzejowski";84908;3752;4105;4632;4149;4667;5728;5729;6788;6732;5757;4812;4933;6163;6133;10828;4612;2363;1934;1919;12489;
2603000;"Powiat kazimierski";33340;1209;1281;1579;1411;1790;2315;2288;2670;2535;2332;2164;2233;2488;2298;4747;1727;1081;949;990;4069;
2604000;"Powiat kielecki";210992;10509;11059;12010;11029;13013;15541;15987;17470;16700;15035;13101;13150;14053;11735;20600;8354;4274;3988;3984;33578;
2605000;"Powiat konecki";79072;2951;3412;3855;3644;4324;5268;5165;6012;6034;5602;4982;5148;5991;5647;11037;4544;2340;2081;2072;10218;
2606000;"Powiat opatowski";51525;1948;2178;2633;2579;2909;3675;3402;3885;3883;3566;3129;3450;3800;3849;6639;2583;1396;1323;1337;6759;
2607000;"Powiat ostrowiecki";107711;3545;4221;5138;4920;5666;6315;6731;8414;8545;7363;6429;7275;9205;8657;15287;6388;3233;2987;2679;12904;
2608000;"Powiat pińczowski";38487;1565;1664;1752;1755;2166;2581;2679;2860;2792;2526;2411;2529;2972;2812;5423;2136;1208;1017;1062;4981;
2609000;"Powiat sandomierski";76346;3025;3214;3698;3660;4289;5200;5264;5827;5699;5438;4894;4921;5517;5164;10536;4131;2358;2052;1995;9937;
2610000;"Powiat skarżyski";73163;2552;3005;3277;3024;3599;4474;4861;5668;5591;4910;4420;4835;6281;5902;10764;4332;2151;2129;2152;8834;
2611000;"Powiat starachowicki";88549;3462;3788;4432;4011;4613;5813;5975;6900;6536;5882;5329;5854;6863;6296;12795;4817;2748;2731;2499;11682;
2612000;"Powiat staszowski";71250;3159;3370;3730;3401;4254;5040;4920;5418;5444;4870;4351;4481;5309;4758;8745;3670;1870;1584;1621;10259;
2613000;"Powiat włoszczowski";44743;1984;2041;2331;2282;2501;3222;3060;3517;3328;3036;2737;2800;3196;3001;5707;2369;1285;1039;1014;6356;
2661000;"Powiat m.Kielce";193415;9030;8421;8979;7538;7901;10445;14701;16968;15830;13472;10805;11288;14145;14821;29071;12313;6522;5482;4754;26430;
2801000;"Powiat bartoszycki";56562;2458;2625;3074;2604;3136;3861;3989;4555;4336;3857;3473;4077;4409;3772;6336;2656;1358;1212;1110;8157;
2802000;"Powiat braniewski";40776;1852;1957;2080;1839;2510;3099;2972;3222;3022;2885;2600;2864;3132;2575;4167;1852;842;786;687;5889;
2803000;"Powiat działdowski";64768;3067;3449;3879;3466;4008;4661;4644;5040;4811;4426;4074;4317;4556;4004;6366;2810;1413;1135;1008;10395;
2804000;"Powiat elbląski";56986;2599;2911;3299;3094;3590;3947;4117;4682;4422;3869;3426;3670;4255;3644;5461;2248;1095;1038;1080;8809;
2805000;"Powiat ełcki";91395;4532;4941;5408;5165;5192;6259;7174;8086;7262;6008;5390;5673;6410;5291;8604;3694;1811;1555;1544;14881;
2806000;"Powiat giżycki";56227;2425;2637;3075;2785;3050;3752;4034;4400;4314;3900;3515;3796;4401;3761;6382;2684;1400;1182;1116;8137;
2807000;"Powiat iławski";92644;4785;4939;5624;4881;5494;6443;6748;7466;7351;6156;5432;5691;6608;5794;9232;4108;1911;1672;1541;15348;
2808000;"Powiat kętrzyński";61772;2394;2910;3230;3126;3235;4186;4262;4883;4778;4215;3765;4349;5044;4188;7207;3077;1499;1389;1242;8534;
2809000;"Powiat lidzbarski";40852;1755;1992;2257;1936;2246;2885;2984;3294;3019;2828;2513;2825;3036;2631;4651;1883;1040;846;882;6004;
2810000;"Powiat mrągowski";49439;2135;2378;2733;2320;2814;3328;3624;4081;3826;3359;3088;3608;3916;3062;5167;2201;1149;1003;814;7246;
2811000;"Powiat nidzicki";32638;1511;1562;1816;1788;2033;2338;2223;2513;2536;2279;2127;2152;2349;1979;3432;1510;724;630;568;4889;
2812000;"Powiat nowomiejski";43721;2373;2481;2749;2321;2884;3201;3153;3356;3227;2952;2651;2723;2820;2436;4394;1926;875;826;767;7603;
2813000;"Powiat olecki";33993;1676;1759;1963;1744;2033;2529;2626;2817;2439;2180;1920;2168;2474;2075;3590;1530;710;672;678;5398;
2814000;"Powiat olsztyński";127544;5990;6783;7480;6367;7313;8753;9496;10991;10689;9342;7967;8225;9185;7757;11206;5037;2297;2018;1854;20253;
2815000;"Powiat ostródzki";103492;4825;5333;6048;5080;6093;7119;7538;8267;7912;7097;6127;6668;7780;6664;10941;4871;2283;1922;1865;16206;
2816000;"Powiat piski";55833;2544;2682;3140;3022;3424;4201;4164;4343;3931;3862;3625;3798;3864;3243;5990;2370;1367;1215;1038;8366;
2817000;"Powiat szczycieński";69089;3303;3371;3973;3369;4187;5010;5009;5545;5358;4749;4406;4634;5051;4178;6946;2932;1491;1333;1190;10647;
2818000;"Powiat gołdapski";26489;1253;1427;1583;1210;1547;1953;2042;2184;1965;1815;1582;1710;1906;1553;2759;1139;546;563;511;4263;
2819000;"Powiat węgorzewski";22444;881;1070;1144;997;1180;1550;1536;1791;1630;1551;1427;1522;1861;1513;2791;1150;567;536;538;3095;
2861000;"Powiat m.Elbląg";118582;4918;5027;6090;5656;5837;7013;8231;10192;9612;8568;6946;7230;9267;9296;14699;6709;2936;2529;2525;16035;
2862000;"Powiat m.Olsztyn";171249;8874;8037;8656;7845;7090;8100;13441;16400;14640;11956;9659;9982;12268;12223;22078;9574;4499;3958;4047;25567;
3001000;"Powiat chodzieski";46824;2207;2372;2781;2497;2704;3109;3212;3879;3970;3317;2618;2757;3370;3000;5031;2493;1010;797;731;7360;
3002000;"Powiat czarnkowsko-trzcianecki";86590;4258;4542;5275;4496;5058;5773;6123;6844;6755;6260;5320;5180;6102;5447;9157;4414;1866;1561;1316;14075;
3003000;"Powiat gnieźnieński";145068;7784;8104;8718;7289;7791;9313;10512;12112;11728;10227;8315;8484;9899;9242;15550;7441;3241;2574;2294;24606;
3004000;"Powiat gostyński";75732;4431;4198;4371;3735;4207;5480;5890;6124;5505;5047;4471;4943;5196;4381;7753;3423;1514;1506;1310;13000;
3005000;"Powiat grodziski";51929;3294;3066;3236;2780;3140;3765;4153;4373;3790;3502;2992;3099;3321;2895;4523;2139;844;804;736;9596;
3006000;"Powiat jarociński";71425;3768;3966;4157;3583;4055;4728;5455;5863;5283;4802;4295;4363;5021;4422;7664;3574;1498;1412;1180;11891;
3007000;"Powiat kaliski";82911;4366;4401;4582;4353;4915;5840;6166;6327;6376;5990;5339;5239;5332;4698;8987;3805;1970;1680;1532;13349;
3008000;"Powiat kępiński";56298;3010;3025;3252;2834;3240;3955;4190;4559;4371;4073;3443;3377;3740;3332;5897;2735;1294;1016;852;9287;
3009000;"Powiat kolski";86108;3845;4220;4836;4217;5030;6065;5945;6533;6560;6145;5427;5348;6118;5602;10217;4592;2218;1749;1658;12901;
3010000;"Powiat koniński";129904;6393;6721;7615;6965;8331;9928;9438;10225;10207;9724;8414;8063;8421;6923;12536;5450;2654;2176;2256;20729;
3011000;"Powiat kościański";78866;4379;4281;4397;3706;4404;5475;5910;6486;6044;5325;4761;5003;5524;4859;8312;3976;1502;1523;1311;13057;
3012000;"Powiat krotoszyński";76998;4123;4289;4468;3903;4503;5365;5710;6237;5756;5178;4482;4825;5395;4620;8144;3754;1647;1439;1304;12880;
3013000;"Powiat leszczyński";57911;3474;3465;3812;3246;3357;3930;4584;4891;4794;4059;3337;3247;3585;3032;5098;2556;957;875;710;10751;
3014000;"Powiat międzychodzki";36633;1889;1995;2137;1728;2132;2480;2706;2950;2810;2552;2120;2165;2589;2494;3886;1965;737;616;568;6021;
3015000;"Powiat nowotomyski";75576;4354;4427;4744;3949;4249;4946;5809;6485;6040;5211;4186;4377;4948;4320;7531;3764;1440;1221;1106;13525;
3016000;"Powiat obornicki";59821;3260;3425;3782;3137;3353;3876;4454;5322;4921;4062;3375;3398;4083;3621;5752;2881;1135;906;830;10467;
3017000;"Powiat ostrowski";161357;8277;8312;8882;7964;8549;10669;12214;13022;12559;11236;10029;10098;10962;10060;18524;8404;3833;3245;3042;25471;
3018000;"Powiat ostrzeszowski";55265;2901;2884;3260;2815;3243;3979;4109;4373;4161;3845;3392;3413;3628;3297;5965;2813;1288;1025;839;9045;
3019000;"Powiat pilski";135477;6429;6603;7775;7172;7428;8909;9702;11451;10876;9310;8141;8337;9820;8983;14541;6820;3045;2482;2194;20807;
3020000;"Powiat pleszewski";62763;3275;3206;3648;3305;3551;4329;4454;5035;5048;4468;3923;3751;4079;3934;6757;3189;1423;1166;979;10129;
3021000;"Powiat poznański";406590;27397;26277;27518;20916;19422;23385;31007;38640;38283;31631;22682;20946;23629;21459;33398;16788;6703;5471;4436;81192;
3022000;"Powiat rawicki";60188;3300;3237;3779;3171;3357;4011;4428;4814;4882;4216;3361;3500;3992;3667;6473;3166;1296;1076;935;10316;
